District,Latitude,Longitude
Mangaluru,12.8698101,74.8430082
Hubballi,15.3518378,75.1379848
Belagavi,16.1587846,74.888862
Ballari,15.3483166,76.8054883
Shivamogga,13.9326093,75.574978
Tumakuru,13.4192512,76.8810004
Udupi,13.5269784,74.8731879
Davanagere,14.2558835,75.8303421
Raichur,16.0547194,76.9003647
Bidar,18.0207297,77.2487204
Kalaburagi,17.2408957,76.7697439
Chikkamagaluru,13.4058699,75.638758
Hassan,13.0301852,76.1744968
Mandya,12.6368939,76.7275477
Kolar,13.1805066,78.2669329
Gadag,15.416692,75.6815801
Haveri,14.7180268,75.3656423
Bagalkot,16.1793224,75.6999315
Chitradurga,14.3049174,76.5296667
Kodagu,12.3827332,75.6640715
Yadgir,16.5744123,76.9254434
Vijayapura,16.814415,75.8933856
Ramanagara,12.720006,77.3184199
Ahmedabad,23.0215374,72.5800568
Surat,21.2094892,72.8317058
Vadodara,22.2973142,73.1942567
Rajkot,22.3053263,70.8028377
Bhavnagar,21.7718836,72.1416449
Jamnagar,22.4732415,70.0552102
Junagadh,21.5220416,70.4582458
Gandhinagar,23.2232877,72.6492267
Kutch,23.583333,70.0
Anand,22.4739858,72.7361779
Mehsana,23.6012628,72.3741516
Valsad,20.4321957,73.1409893
Navsari,20.952407,72.9323831
Bharuch,21.7080427,72.9956936
Sabarkantha,23.8688505,73.013784
Patan,23.773753,71.6798581
Banaskantha,24.2693869,72.5367513
Dahod,22.9194099,74.1342725
Amreli,21.4176122,71.249609
Porbandar,21.602975,69.8538067
Surendranagar,22.8251395,71.6209736
Gir Somnath,20.9298181,70.7627578
Botad,22.0467097,71.6689617
Morbi,22.8003959,70.886232
Aravalli,23.4843216,73.3986096
Thiruvananthapuram,8.4882267,76.947551
Kochi,9.9679032,76.2444378
Kozhikode,11.2450558,75.7754716
Thrissur,10.5270099,76.214621
Kollam,8.8870533,76.5906696
Kannur,11.8763836,75.3737973
Alappuzha,9.5003416,76.4123364
Palakkad,10.7873692,76.4742172
Malappuram,11.1068448,76.1099551
Kottayam,9.6287383,76.6455326
Idukki,9.8154785,76.9991599
Pathanamthitta,9.2780841,76.9737443
Wayanad,11.7151291,76.1271185
Ernakulam,9.9837257,76.2740001
Kasargod,12.4914722,74.9877613
Attingal,8.6985965,76.8134401
Ponnani,10.7800691,75.9189338
Chalakudy,10.3041869,76.3371037
Payyanur,12.0918925,75.1951763
Nedumangad,8.6970387,77.0424541
Muvattupuzha,9.9831493,76.5781613
Thodupuzha,9.8976798,76.7134225
Changanassery,9.4896674,76.6278343
Ottapalam,10.7732226,76.3772453
Manjeri,11.1202289,76.1198109
Ludhiana,30.9090157,75.851601
Amritsar,31.6356659,74.8787496
Jalandhar,31.2922312,75.5678878
Patiala,30.2092778,76.3397231
Bathinda,30.1794814,75.0471098
Mohali,30.7041168,76.7176885
Hoshiarpur,31.6092942,75.8459754
Gurdaspur,31.9037264,75.2275587
Moga,30.7877554,75.159359
Firozpur,30.8753832,74.6525438
Kapurthala,31.3856476,75.3053304
Faridkot,30.6014507,74.7950176
Sangrur,30.135717,75.8533326
Barnala,30.3716802,75.5039887
Ropar,30.9688367,76.526088
Mansa,29.8764133,75.4889564
Fazilka,30.3198406,74.1217943
Pathankot,32.3021899,75.6589406
Tarn Taran,31.3212453,74.8416687
Malerkotla,30.533129,75.8807604
Khanna,30.700625,76.2220763
Abohar,30.1450543,74.1956597
Rajpura,23.2892414,74.9794733
Zirakpur,30.6557257,76.8200648
Batala,31.8193025,75.1999941
Gurugram,28.4646148,77.0299194
Faridabad,28.4031478,77.3105561
Panipat,29.3912753,76.9771675
Ambala,30.3843674,76.770421
Hisar,29.2396596,75.8174505
Rohtak,28.9010899,76.5801935
Sonipat,28.9953758,77.0233627
Karnal,29.7255766,76.9106924
Yamunanagar,30.1231349,77.286329
Bhiwani,28.7931703,76.1391283
Jhajjar,28.5964461,76.6505366
Sirsa,29.6063041,74.9036568
Kurukshetra,29.9693747,76.8482787
Rewari,28.1956468,76.6165179
Palwal,28.0599426,77.3223422
Mahendragarh,28.1326971,76.1697448
Jind,29.3152073,76.314082
Kaithal,29.7996588,76.3989903
Nuh,27.9935177,77.0419634
Charkhi Dadri,28.6000997,76.1123707
Fatehabad,29.5359209,75.5752901
Panchkula,30.6975401,76.8551066
Hansi,29.140992,75.9787139
Kosli,28.3921086,76.4501216
Tohana,29.7107922,75.9042326
